module,address,end_address,size,name,source,source_sha256,catalog_status
CARDGAME,0x800875ac,0x800878b4,776,CARDGAME_F0x800875ac,src/cardgame/cardgame_f0x800875ac.c,f62880b3f1b1c27865e6124c5bfc5d2da4d8260b4e5b11ed0da9dd464178d276,C_MATCHING
CARDGAME,0x800878b4,0x80087b80,716,CARDGAME_F0x800878b4,src/cardgame/cardgame_f0x800878b4.c,51b68182d0ac62a244463afaa9df9ae69dccfa0159264ec724c63dd583ee4720,C_MATCHING
CARDGAME,0x80087b80,0x80087dc8,584,CARDGAME_F0x80087b80,src/cardgame/cardgame_f0x80087b80.c,44d1510ee17383743cfa5db38c8e55a6ac9ff3277cdad6fe385cbf559a30cf66,C_MATCHING
CARDGAME,0x80087dc8,0x80087edc,276,CARDGAME_F0x80087dc8,src/cardgame/cardgame_f0x80087dc8.c,7d57a066b8f19d876b2ddce07378013e36985a013e772f375a4d9fcde821b390,C_MATCHING
CARDGAME,0x80087edc,0x80088f0c,4144,CARDGAME_F0x80087edc,src/cardgame/cardgame_f0x80087edc.c,4f94e9f5a26c85f8fe2e403daabee8efa96289e10f6ce36a606563bd12882835,C_MATCHING
CARDGAME,0x80088f0c,0x80088f78,108,CARDGAME_F0x80088f0c,src/cardgame/cardgame_f0x80088f0c.c,d38d33a33020ba465f420b3dc64de480067b4116cff2331a4660b49c02ccc210,C_MATCHING
CARDGAME,0x80088f78,0x800894e4,1388,CARDGAME_F0x80088f78,src/cardgame/cardgame_f0x80088f78.c,14a84393ce11410646dea75a6a07f8568dd9b877081c33b9fdf184b2a9cd4e80,C_MATCHING
CARDGAME,0x800894e4,0x80089580,156,CARDGAME_F0x800894e4,src/cardgame/cardgame_f0x800894e4.c,7b6543438385cc1cb1c4b1d21bf5fcc7799b7d394599467969fb4a6934099a44,C_MATCHING
CARDGAME,0x80089580,0x800896f0,368,CARDGAME_F0x80089580,src/cardgame/cardgame_f0x80089580.c,b3fadd041bbabbad6e93fd562621b4de5461501b16a4a7a0819785d534f29565,C_MATCHING
CARDGAME,0x800896f0,0x8008985c,364,CARDGAME_F0x800896f0,src/cardgame/cardgame_f0x800896f0.c,1ebd6abb95e05fb66d544a9c1ae2989c2abe557d7de064bda52750358ce39355,C_MATCHING
CARDGAME,0x8008985c,0x80089974,280,CARDGAME_F0x8008985c,src/cardgame/cardgame_f0x8008985c.c,74fa17a282ea3988af8e7f60e3a3a276a3b0ad94065638927c7ff7c6d4812409,C_MATCHING
CARDGAME,0x80089974,0x80089ec8,1364,CARDGAME_F0x80089974,src/cardgame/cardgame_f0x80089974.c,23b02a039ea917cee82fa7ccc7c3e7a0bafb366f5d8a73439d5ced8a324f2f5b,C_MATCHING
CARDGAME,0x80089f18,0x8008a068,336,CARDGAME_F0x80089f18,src/cardgame/cardgame_f0x80089f18.c,34d87995e9cbb466103751f3394290a11f09e7d887c0f8b271c80dda2d912a31,C_MATCHING
CARDGAME,0x8008a068,0x8008ad48,3296,CARDGAME_F0x8008a068,src/cardgame/cardgame_f0x8008a068.c,5d0afb566a02e3cc32efe6a94b5bce19b801e2ad698a400cb59dd96e97265696,C_MATCHING
CARDGAME,0x8008ad58,0x8008ad78,32,CARDGAME_F0x8008ad58,src/cardgame/cardgame_f0x8008ad58.c,747cb8d732aa1bb289ecaff943bc3117e4a44ecaf83ef0f33afe2d45553bcf54,C_MATCHING
CARDGAME,0x8008ad78,0x8008ad98,32,CARDGAME_F0x8008ad78,src/cardgame/cardgame_f0x8008ad78.c,baea56ae10789c9af297094da6ff7b1fc6085aa7fc0e9fe9914139c2bf73b4e2,C_MATCHING
CARDGAME,0x8008ad98,0x8008baa4,3340,CARDGAME_F0x8008ad98,src/cardgame/cardgame_f0x8008ad98.c,e5bb8aa0bbe2182cc450569aa9bdca6dba3a17a00274f6c380b84c28582349ea,C_MATCHING
CARDGAME,0x8008baa4,0x8008bc6c,456,CARDGAME_F0x8008baa4,src/cardgame/cardgame_f0x8008baa4.c,049595ff4bbe2f6849e7241988b38cd4f600972b471551e28aa160ee1c803a48,C_MATCHING
CARDGAME,0x8008bc6c,0x8008bc8c,32,CARDGAME_F0x8008bc6c,src/cardgame/cardgame_f0x8008bc6c.c,8c882968efeb9ce02175774d63b18e2092d3063b076b39d94c3769e1abef6232,C_MATCHING
CARDGAME,0x8008bc8c,0x8008be04,376,CARDGAME_F0x8008bc8c,src/cardgame/cardgame_f0x8008bc8c.c,4bea00e66e4ea6591d3e00bcd6a1e4dd95c826ba3676b9d0b1c35cd50c82240f,C_MATCHING
CARDGAME,0x8008be04,0x8008c044,576,CARDGAME_F0x8008be04,src/cardgame/cardgame_f0x8008be04.c,bed49e42250a4dd926631229fdf0cc626d8a28750dd96c854ffd94580fac7733,C_MATCHING
CARDGAME,0x8008c044,0x8008c5f0,1452,CARDGAME_F0x8008c044,src/cardgame/cardgame_f0x8008c044.c,c76b8460f0d8254650547025bf62b34398eeb01cd34bbf904f13b12f62c53e02,C_MATCHING
CARDGAME,0x8008c5f0,0x8008c6e0,240,CARDGAME_F0x8008c5f0,src/cardgame/cardgame_f0x8008c5f0.c,e5a41e7f2d84aeddef9c6c26b3447287686f1b87c12ec4a4525b86c9e23e10b1,C_MATCHING
CARDGAME,0x8008c6e0,0x8008c8d8,504,CARDGAME_F0x8008c6e0,src/cardgame/cardgame_f0x8008c6e0.c,91f969d63a86b8fe3ed5ec1c6f22d3f131889c6bfbb4221644fb1019ae1bbcad,C_MATCHING
CARDGAME,0x8008c988,0x8008ca4c,196,CARDGAME_F0x8008c988,src/cardgame/cardgame_f0x8008c988.c,9d67678f04339fc7fe9156c544aeca2df53f518fb9ef250e9ec7dd6c79f6ff8f,C_MATCHING
CARDGAME,0x8008ca4c,0x8008cb5c,272,CARDGAME_F0x8008ca4c,src/cardgame/cardgame_f0x8008ca4c.c,69ba0636269c9dce20085040d186bc277b09a321765af1bb724f4e0eed60598d,C_MATCHING
CARDGAME,0x8008cb5c,0x8008ce0c,688,CARDGAME_F0x8008cb5c,src/cardgame/cardgame_f0x8008cb5c.c,ec06afd7dc1f6b363bb86ce57698f1f845ce0c23f37f09ec4757eb51816d2413,C_MATCHING
CARDGAME,0x8008ce0c,0x8008cfdc,464,CARDGAME_F0x8008ce0c,src/cardgame/cardgame_f0x8008ce0c.c,0277f4f3d1f8cf8a9952de6cb8ff187d99d82e1bdc2ab96063b6077b7db7696d,C_MATCHING
CARDGAME,0x8008cfdc,0x8008d274,664,CARDGAME_F0x8008cfdc,src/cardgame/cardgame_f0x8008cfdc.c,d9342af71e9ff91495bbabc88823a09ab5d9bbb124cde9b5b777b2fff8e22a42,C_MATCHING
CARDGAME,0x8008d274,0x8008d594,800,CARDGAME_F0x8008d274,src/cardgame/cardgame_f0x8008d274.c,a10d79a1234e059325117d8606bc29de29f2e95438da4f6c9a61c433dc5f1b45,C_MATCHING
CARDGAME,0x8008d594,0x8008d854,704,CARDGAME_F0x8008d594,src/cardgame/cardgame_f0x8008d594.c,0f464875271421fee6868315c89221fac196ae1e5422a6ef780a200a17a62eb3,C_MATCHING
CARDGAME,0x8008d854,0x8008d938,228,CARDGAME_F0x8008d854,src/cardgame/cardgame_f0x8008d854.c,d3cbe043ac4799118ed3811911d83c09624e94fcde6e3bb07e639a28eb56151f,C_MATCHING
CARDGAME,0x8008d938,0x8008da2c,244,CARDGAME_F0x8008d938,src/cardgame/cardgame_f0x8008d938.c,c8cbbdf7d2e08648b4969ed7d366c0cea5cc048781ec20dc7eb9fb220e47b6ac,C_MATCHING
CARDGAME,0x8008da2c,0x8008daf4,200,CARDGAME_F0x8008da2c,src/cardgame/cardgame_f0x8008da2c.c,dc253153e59df9432828ccd560d21983d0443a174830660c9fa64eb8b9db5b5b,C_MATCHING
CARDGAME,0x8008daf4,0x8008db7c,136,CARDGAME_F0x8008daf4,src/cardgame/cardgame_f0x8008daf4.c,c3b53cd2d7446ca400d3ae9c2c911ca7953d398e7d3b95a206db490c050731d4,C_MATCHING
CARDGAME,0x8008db7c,0x8008dc70,244,CARDGAME_F0x8008db7c,src/cardgame/cardgame_f0x8008db7c.c,1b23bb77b4851300b13abc84db01288929498d90774ce9d0505a480e1b46287c,C_MATCHING
CARDGAME,0x8008dc70,0x8008dd38,200,CARDGAME_F0x8008dc70,src/cardgame/cardgame_f0x8008dc70.c,f6b3033833d24fd98b6f5e736fec783a618479ad5384af2e95ec1ece9edafe15,C_MATCHING
CARDGAME,0x8008dd38,0x8008ddc0,136,CARDGAME_F0x8008dd38,src/cardgame/cardgame_f0x8008dd38.c,3d50ff1d237c86d0acdaa86afd83a4a253a9ae59e53cc3d3209e9736c6d745be,C_MATCHING
CARDGAME,0x8008ddc0,0x8008deac,236,CARDGAME_F0x8008ddc0,src/cardgame/cardgame_f0x8008ddc0.c,20f235331d9e091e28985aae4864c6717d31bf6e6b4e0997a6ad46190afab7a6,C_MATCHING
CARDGAME,0x8008deac,0x8008def8,76,CARDGAME_F0x8008deac,src/cardgame/cardgame_f0x8008deac.c,d5f82cedb477f5b57b275ef8bed8dc447370bb7ace4a17eb9a600a0615b3d5f7,C_MATCHING
CARDGAME,0x8008def8,0x8008e08c,404,CARDGAME_F0x8008def8,src/cardgame/cardgame_f0x8008def8.c,b8fdce40181d42d81cef67fe81875b304253bf407fe5ccdc678735ca80f54445,C_MATCHING
CARDGAME,0x8008e398,0x8008e5b0,536,CARDGAME_F0x8008e398,src/cardgame/cardgame_f0x8008e398.c,e9cfab891f6dbb8d2acd60f8cdab49c73a8b047f9657c749598cdd47adede1a5,C_MATCHING
CARDGAME,0x8008e5bc,0x8008ec44,1672,CARDGAME_F0x8008e5bc,src/cardgame/cardgame_f0x8008e5bc.c,62c963efcabfd095efb15225169c5b6f2e42469af0faa3fdaf7611f994d787b9,C_MATCHING
CARDGAME,0x8008ec44,0x8008eec8,644,CARDGAME_F0x8008ec44,src/cardgame/cardgame_f0x8008ec44.c,6d1d71e54e178b2a64a3d316a13768d1ae7295a263bd11f851f3ba215f379f46,C_MATCHING
CARDGAME,0x8008eec8,0x8008f0b4,492,CARDGAME_F0x8008eec8,src/cardgame/cardgame_f0x8008eec8.c,1c5ebc12f76278e7c33c96b87737b00f812a31e45d4b97e26de742cbb0287e83,C_MATCHING
CARDGAME,0x8008f0f4,0x8008f2d8,484,CARDGAME_F0x8008f0f4,src/cardgame/cardgame_f0x8008f0f4.c,6866a8073d940fb14229865700d985335cd60785a916f8afe7fb6180026391e0,C_MATCHING
CARDGAME,0x8008f2ec,0x8008f530,580,CARDGAME_F0x8008f2ec,src/cardgame/cardgame_f0x8008f2ec.c,fc70d63d66fc9edc5d3a7526ca1c38f44f1a7fec7f6838f2b1a4cc8e3fcdbe3f,C_MATCHING
CARDGAME,0x8008f530,0x8008f560,48,CARDGAME_F0x8008f530,src/cardgame/cardgame_f0x8008f530.c,f69ef3e4d8a371e2d75d8f7e82217fb2e28c7b821c0c7057b919ac9dc719980e,C_MATCHING
CARDGAME,0x8008f560,0x8008f750,496,CARDGAME_F0x8008f560,src/cardgame/cardgame_f0x8008f560.c,555f6144b49f8329c3a806a86cd00098a451850d779e53de6377556086c3308f,C_MATCHING
CARDGAME,0x8008f750,0x8008f790,64,CARDGAME_F0x8008f750,src/cardgame/cardgame_f0x8008f750.c,f74180772ecfe8d604506e8b4aae4cc765bedac021e0e5c563a48f4e77fa32a9,C_MATCHING
CARDGAME,0x8008f790,0x8008f948,440,CARDGAME_F0x8008f790,src/cardgame/cardgame_f0x8008f790.c,a03dd98a95ef4d1d9a929fe3d9962315b7cd6b6bf6430d1eccd64103eae76057,C_MATCHING
CARDGAME,0x8008f978,0x8008fa9c,292,CARDGAME_F0x8008f978,src/cardgame/cardgame_f0x8008f978.c,582d64ad0c7d95c8a1e8f13023000ba3925b3b60e5423aaead4c9a4921385125,C_MATCHING
CARDGAME,0x8008fa9c,0x8008ff08,1132,CARDGAME_F0x8008fa9c,src/cardgame/cardgame_f0x8008fa9c.c,757c08ad068e4e59efa911a1e3655a309877fe7aa6493a66b0a57188a5da2f2d,C_MATCHING
CARDGAME,0x8008ff08,0x80090058,336,CARDGAME_F0x8008ff08,src/cardgame/cardgame_f0x8008ff08.c,d711dfc5a703bfcd6d74132cea9d237b160920cecd4722d3f355f93df47c102d,C_MATCHING
CARDGAME,0x80090058,0x8009076c,1812,CARDGAME_F0x80090058,src/cardgame/cardgame_f0x80090058.c,cbb6c9cf07ba342d70940868c3b9814b9f65de8d79ba6019ec9159c70d0877a7,C_MATCHING
CARDGAME,0x800907ac,0x80090a6c,704,CARDGAME_F0x800907ac,src/cardgame/cardgame_f0x800907ac.c,9a44a650c9350f33f863a94b42b7d95579287d933e0a7b66d5155c00a27e2cf7,C_MATCHING
CARDGAME,0x80090ba0,0x80090cd8,312,CARDGAME_F0x80090ba0,src/cardgame/cardgame_f0x80090ba0.c,cb4f9cebdf8edf68e08d743954907a8539b3ed91ee658a0328dced7176fee484,C_MATCHING
CARDGAME,0x80090cd8,0x800915c4,2284,CARDGAME_F0x80090cd8,src/cardgame/cardgame_f0x80090cd8.c,696b62324668bc233cab0da784704112e0a1dc89248bd5a06ddea5462a032c51,C_MATCHING
CARDGAME,0x800915d4,0x8009170c,312,CARDGAME_F0x800915d4,src/cardgame/cardgame_f0x800915d4.c,283362bf2ae589eebe52a8fd8c9ea16ce8ba629e0b3de3cc09acaf502ada03c8,C_MATCHING
CARDGAME,0x80091858,0x800919fc,420,CARDGAME_F0x80091858,src/cardgame/cardgame_f0x80091858.c,3ca9cad70d4c09cc22276a35429d1e2a1601f0750e1d05b4b39ddc6a876835a9,C_MATCHING
CARDGAME,0x800919fc,0x80091c6c,624,CARDGAME_F0x800919fc,src/cardgame/cardgame_f0x800919fc.c,b69d3251f72a4c58487421b67185d4655cdf716e8fab722632e9815183c68c59,C_MATCHING
CARDGAME,0x80091c6c,0x80091eb0,580,CARDGAME_F0x80091c6c,src/cardgame/cardgame_f0x80091c6c.c,d6894b58cad718aa763c1f8ec4a6c33735e1cf3543aa09db8af5f31aa0e67a0e,C_MATCHING
CARDGAME,0x80091eb0,0x80092198,744,CARDGAME_F0x80091eb0,src/cardgame/cardgame_f0x80091eb0.c,db2dd823bc60acc15827e9c937262cda1ddc94e93dce0bfa0f1b3002ffe37d77,C_MATCHING
CARDGAME,0x80092198,0x80092438,672,CARDGAME_F0x80092198,src/cardgame/cardgame_f0x80092198.c,025bc8adfa10dd82771bcb505b9104515942de7ba60943fc158a9f636712939e,C_MATCHING
CARDGAME,0x80092438,0x80092638,512,CARDGAME_F0x80092438,src/cardgame/cardgame_f0x80092438.c,49b62ff33c508cd2a669f165137d8eb2068c7ede4ea1909fa5d5f21e0ada967b,C_MATCHING
CARDGAME,0x80092638,0x80092ba4,1388,CARDGAME_F0x80092638,src/cardgame/cardgame_f0x80092638.c,215567e35b2c7554f4b6cb60ca0176d31751f31d9d8ded187464d44f67f41e2c,C_MATCHING
CARDGAME,0x80092ba4,0x80092c54,176,CARDGAME_F0x80092ba4,src/cardgame/cardgame_f0x80092ba4.c,b59c1e0552688b18ae4cf3f5f2393c79bc7323aa25a53db7b2acfada23cbab3a,C_MATCHING
CARDGAME,0x80092c54,0x80092e60,524,CARDGAME_F0x80092c54,src/cardgame/cardgame_f0x80092c54.c,be2f0fccd442bb111ab076e738b36a2405ce895828c7ac890b713aadfd59e15b,C_MATCHING
CARDGAME,0x80092e60,0x80093624,1988,CARDGAME_F0x80092e60,src/cardgame/cardgame_f0x80092e60.c,5399fb43b07d768cf575817fa99887edb3450fb9273f849b0f83d9d29488832e,C_MATCHING
CARDGAME,0x80093710,0x80093adc,972,CARDGAME_F0x80093710,src/cardgame/cardgame_f0x80093710.c,b8dc856892f1f59fa0a3ad843a46cac2255dfda10217b630b7ad14184e9085ba,C_MATCHING
CARDGAME,0x80093b10,0x80093bc4,180,CARDGAME_F0x80093b10,src/cardgame/cardgame_f0x80093b10.c,b8bdd2c810d2ed524175318f693337852d0317d1451d76f2451962bb68051b38,C_MATCHING
CARDGAME,0x80093c18,0x80093cac,148,CARDGAME_F0x80093c18,src/cardgame/cardgame_f0x80093c18.c,c47de8278da87801a653a13ea6129dcc50df9f3bc552f5be7aa6538434841dd0,C_MATCHING
CARDGAME,0x80093cac,0x8009403c,912,CARDGAME_F0x80093cac,src/cardgame/cardgame_f0x80093cac.c,2a94e0bd4f4c324ca737bf3c5a5cbdb68a436f6d1efc3655b274c9f80cddd91e,C_MATCHING
CARDGAME,0x8009403c,0x800942dc,672,CARDGAME_F0x8009403c,src/cardgame/cardgame_f0x8009403c.c,89c4b45f391fb19e6aa468537b80b541ba32243cb271b8462ed065b6b903d98e,C_MATCHING
CARDGAME,0x800942dc,0x80094828,1356,CARDGAME_F0x800942dc,src/cardgame/cardgame_f0x800942dc.c,72b4815ebb6145ddc1ba7ceafff0f628548125e96f9e4669d6b6f409717f47be,C_MATCHING
CARDGAME,0x80094848,0x80094b78,816,CARDGAME_F0x80094848,src/cardgame/cardgame_f0x80094848.c,208cd722f5665db00e33c14edaabd4afb9bbb6121a0267c9f6e5817d18db2c6b,C_MATCHING
CARDGAME,0x80094b9c,0x80094fdc,1088,CARDGAME_F0x80094b9c,src/cardgame/cardgame_f0x80094b9c.c,8c981931d490d414a16198d4a0b126c43154735eaec11a98bceb6d75413605c2,C_MATCHING
CARDGAME,0x80094fdc,0x80095030,84,CARDGAME_F0x80094fdc,src/cardgame/cardgame_f0x80094fdc.c,f48d454cd395cf398e1548cf67e8eada05ca8d36484a9039a6210862e6d9660e,C_MATCHING
CARDGAME,0x80095030,0x8009518c,348,CARDGAME_F0x80095030,src/cardgame/cardgame_f0x80095030.c,4660667b1cc6c39c8befcfd4566546db93104dcf880f01cf3ea82aa6467c6ad5,C_MATCHING
CARDGAME,0x8009518c,0x80095208,124,CARDGAME_F0x8009518c,src/cardgame/cardgame_f0x8009518c.c,9dda510a88e0e262c223fdc0427316dc5b381557e3e5f8950b3787222f02a86f,C_MATCHING
CARDGAME,0x80095274,0x800952f4,128,CARDGAME_F0x80095274,src/cardgame/cardgame_f0x80095274.c,0b28e5a75e9fcbefa8cdb4742948909dd4f6bed783f4d6167253cb75c9cd1791,C_MATCHING
CARDGAME,0x8009535c,0x800954f8,412,CARDGAME_F0x8009535c,src/cardgame/cardgame_f0x8009535c.c,c8bc4d61b3fb8cde9a02e78722610b5956e793f1e2617d3331640d32ccf04dd3,C_MATCHING
CARDGAME,0x800954f8,0x80095bfc,1796,CARDGAME_F0x800954f8,src/cardgame/cardgame_f0x800954f8.c,09897d28fe4d72f0e3d9c2278263325b5a6428c5bd9a2b3071f4a3350905a599,C_MATCHING
CARDGAME,0x80095bfc,0x80095e2c,560,CARDGAME_F0x80095bfc,src/cardgame/cardgame_f0x80095bfc.c,e1eb0e50f2a0df65678e19d1df7809715a3cc9f2bf7058297f540fdf46dd99bf,C_MATCHING
CARDGAME,0x80095e2c,0x80095e58,44,CARDGAME_F0x80095e2c,src/cardgame/cardgame_f0x80095e2c.c,3cde9995f1f06f1db5f0eb525bd024d1e2ec4ca86212cb8a54f7e3cd71d0b987,C_MATCHING
CARDGAME,0x80095e58,0x80095fb4,348,CARDGAME_F0x80095e58,src/cardgame/cardgame_f0x80095e58.c,4c09faa5d5585776d2c835121cad86837f4bd91d984f128d8716792e5c73ace5,C_MATCHING
CARDGAME,0x80095fb4,0x80096144,400,CARDGAME_F0x80095fb4,src/cardgame/cardgame_f0x80095fb4.c,0afb2c06144b658f3c88367c6d8ce107849eaa4343f616f33dae6c924ce8b3af,C_MATCHING
CARDGAME,0x80096180,0x800961f0,112,CARDGAME_F0x80096180,src/cardgame/cardgame_f0x80096180.c,6d53cff16968f4a2784b0fe1ec8ce3adf0700fd46b2939313f58b0cf8cf7ac4c,C_MATCHING
CARDGAME,0x800961f0,0x80096418,552,CARDGAME_F0x800961f0,src/cardgame/cardgame_f0x800961f0.c,6c37b3ec480a8914cc5a6e7f9e046b085f4510a0fb351221e864011da4593ae3,C_MATCHING
CARDGAME,0x80096418,0x800967f8,992,CARDGAME_F0x80096418,src/cardgame/cardgame_f0x80096418.c,781ec82f3160c79e9cd7628b39f4453e72cb2f1489c3e1fafcab85719b2f32b0,C_MATCHING
CARDGAME,0x80096828,0x80096950,296,CARDGAME_F0x80096828,src/cardgame/cardgame_f0x80096828.c,631c61f920d7c1c05c7b8759f93fd65905af074144481ed12c46bbfedcd89934,C_MATCHING
CARDGAME,0x80096950,0x80096a94,324,CARDGAME_F0x80096950,src/cardgame/cardgame_f0x80096950.c,0dd0801af23ddbbd569a079cb622fa5527249e7443cd332cc40cdd48f784dc4b,C_MATCHING
CARDGAME,0x80096a94,0x80096c20,396,CARDGAME_F0x80096a94,src/cardgame/cardgame_f0x80096a94.c,cc181592dc76c245f8731812423f948257b23ddb788e0c828580b8e0c422cdba,C_MATCHING
CARDGAME,0x80096c20,0x80096cf0,208,CARDGAME_F0x80096c20,src/cardgame/cardgame_f0x80096c20.c,93d64b74191dcd82cb4cca47033d68db1349dafa9f352b30c4da4abfbcf5151b,C_MATCHING
CARDGAME,0x80096cf0,0x80096e24,308,CARDGAME_F0x80096cf0,src/cardgame/cardgame_f0x80096cf0.c,7617d4d03280af2456e1d002d5a5783e08fd6d7880404f70eb0b951448544c51,C_MATCHING
CARDGAME,0x80096e24,0x80096e8c,104,CARDGAME_F0x80096e24,src/cardgame/cardgame_f0x80096e24.c,2ba08d32a97e2d1252acac64810bffd585b7e59720ba70aa948f8330a71648eb,C_MATCHING
CARDGAME,0x80096e8c,0x80097238,940,CARDGAME_F0x80096e8c,src/cardgame/cardgame_f0x80096e8c.c,d6654bf4ad160d590ce974d17acf0e3a812460825d0749e6148143abd0bce1e9,C_MATCHING
CARDGAME,0x80097238,0x80097310,216,CARDGAME_F0x80097238,src/cardgame/cardgame_f0x80097238.c,b17a89052443f32eb520f82ddc8eff2eb947666256ea99547fbbaa12aee20a4d,C_MATCHING
CARDGAME,0x80097310,0x800973e4,212,CARDGAME_F0x80097310,src/cardgame/cardgame_f0x80097310.c,bc6f4d80cf4321ed1b46774836c3cfc904af48e2014ddb5968ccec86352e8851,C_MATCHING
CARDGAME,0x800973e4,0x80097508,292,CARDGAME_F0x800973e4,src/cardgame/cardgame_f0x800973e4.c,cfbf7112e767478f3f2ed0ca8f827e1734466629e6498d42d96f0cbce87dab1d,C_MATCHING
CARDGAME,0x80097508,0x800978f0,1000,CARDGAME_F0x80097508,src/cardgame/cardgame_f0x80097508.c,8f3b9a4428db3e0a3221b3903d9d5a8e165bc7b09c4630772d8bca1e0d1f60c1,C_MATCHING
CARDGAME,0x800978f0,0x80097958,104,CARDGAME_F0x800978f0,src/cardgame/cardgame_f0x800978f0.c,110c23ece9325fc404f59f8353a09f1e245b1546dbdd500998ac76b4ff82434b,C_MATCHING
CARDGAME,0x80097958,0x80097a24,204,CARDGAME_F0x80097958,src/cardgame/cardgame_f0x80097958.c,2a09335b0dcb9be18a3f584e7d9651f600b890903eef98c118c48cce95a7e16a,C_MATCHING
CARDGAME,0x80097a24,0x80097acc,168,CARDGAME_F0x80097a24,src/cardgame/cardgame_f0x80097a24.c,dd1ae475570dfe3a41c6ceac6cb06b1589ffb060a032cf633e9855310da58b48,C_MATCHING
CARDGAME,0x80097acc,0x8009848c,2496,CARDGAME_F0x80097acc,src/cardgame/cardgame_f0x80097acc.c,e5ab4da454473019e17cf8621f6ec14aae423e75cb0275a4bb3418b700dd04a8,C_MATCHING
